track_id,track_name,genres,artist_name,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6EwVwaoy9j9mfKAvksVwC8,stranger on the shore,[],acker bilk,53,201456,0.825,0.313,0.329,0.888,D#,0.0803,-12.47,Major,0.0334,71.278,4,0.227
2TDw20OyLLx8jAIALiHz2G,audio track 5,[],actress,41,379993,0.154,0.784,0.24,0.7,A#,0.116,-13.463,Minor,0.062,120.001,4,0.37
5hwTm6g8id6swfsGLEDRww,didn't know better,[],adairs run,37,209877,0.0383,0.594,0.735,0.0,E,0.13,-5.408,Major,0.0518,121.947,4,0.752
3yRZJl2bKOzKCncwEVMXMS,freedom for my people - excerpt,[],adam gussow,33,35973,0.751,0.536,0.229,0.0,E,0.629,-24.76,Major,0.0537,148.165,4,0.964
4qEoqyPbLYnLOii6mKlIjI,"determinate - from ""lemonade mouth""",[],adam hicks,60,198107,0.00361,0.562,0.768,0.0,C#,0.0742,-5.006,Minor,0.0488,139.968,4,0.218
6Vf8g2ZM1djFY6ynfEcRY4,i can hold a grudge like nobody's business,[],adam jensen,52,225804,0.152,0.623,0.702,0.0,C#,0.0829,-6.435,Minor,0.0957,145.947,4,0.706
7kOJsVkJXvLQPQ9osGWeKd,another lonely night,[],adam lambert,54,225800,0.0643,0.447,0.67,0.0,B,0.0687,-6.106,Major,0.0712,181.387,3,0.117
7rdGrVIoqwPWOULauvglio,lost stars,[],adam levine,64,267933,0.112,0.495,0.589,0.0,C,0.0688,-4.747,Major,0.0274,82.002,4,0.401
2ppkGKabWsSgNV4fvOldQb,days in the sun,[],adam mitchell,59,160349,0.938,0.299,0.269,2.36e-06,A#,0.162,-9.719,Major,0.0296,93.558,4,0.161
73QZsh1bq7REnerepGhMYu,affirmatiion,[],adam rafferty,45,247813,0.73,0.696,0.16,0.818,D,0.101,-18.698,Major,0.0465,111.654,4,0.484
1wjqK886ncl5DF0CjIVjeH,water prayer rasta mix ( matt the alien remix ),[],adham shaikh,39,241893,0.0401,0.779,0.699,0.254,F#,0.437,-8.306,Major,0.188,104.065,4,0.6
0VBmtqlNaSimnWp6Xrv8VC,cantique de nöel (o holy night),[],adolphe adam,21,231760,0.986,0.165,0.269,0.00326,D#,0.148,-11.93,Major,0.0377,170.964,3,0.143
4YSm31JmBoSbtDAff6XzBV,a.o.k,[],adrian eagle,52,194693,0.199,0.773,0.632,0.0,C#,0.0987,-5.917,Major,0.127,83.961,4,0.474
4nRXY5xGgVEJFBuLA9m00z,a game of cricket,[],adrian johnston,23,167200,0.842,0.114,0.168,0.87,D,0.0981,-15.074,Major,0.0405,178.148,3,0.13
64Jyg9AzWl3AHdnkKPmY4T,2am.,[],adrian marcel,61,237653,0.0523,0.849,0.521,0.0,E,0.277,-6.386,Major,0.0662,102.011,4,0.613
72cMnqPIvKZOIkvsMMnHjp,animal friends / with a smile and a song,[],adriana caselotti,28,263920,0.836,0.363,0.169,1.12e-05,G,0.315,-16.693,Minor,0.0481,98.706,3,0.388
0Pbscg9OvoaqlGZln2dkNt,blue and red horses,[],adrianne lenker,51,197267,0.961,0.622,0.304,0.00397,E,0.105,-10.552,Major,0.0284,110.128,4,0.249
6VUGYMJUc7HMAhLzhbg2LJ,been thru,[],ady suleiman,48,219549,0.173,0.684,0.793,0.0,C,0.111,-5.597,Major,0.159,186.094,4,0.719
37lM4pUg5nR76qOhCIBtYY,(if you want) trees,[],aer,36,236139,0.0629,0.857,0.691,0.0,A#,0.0565,-6.092,Minor,0.182,89.995,4,0.737
57J4jevkFyYGuu0JRkPjZt,best dressed man - single version,[],aeris roves,44,187925,0.404,0.762,0.468,1.92e-06,D,0.102,-10.757,Major,0.208,105.75,4,0.138
0bjyNIHEPUEXGYFUoYqJni,want me,[],affelaye,53,267000,0.776,0.438,0.446,0.908,F#,0.376,-9.338,Minor,0.0338,131.025,4,0.035
4O5GKVbnQ8U9BxYWu0hIug,dancing through sunday,[],afi,43,146667,0.00391,0.533,0.972,0.0,D#,0.276,-2.885,Minor,0.0816,114.161,4,0.609
0rRboI6IRuGx56Dq3UdYY4,because i got high,[],afroman,67,197760,0.166,0.8,0.339,0.0,G,0.0791,-8.531,Major,0.483,165.982,4,0.844
5XLnPVZGD99CNvFEBpldRY,comic panic!!!,[],afterglow,34,280500,0.00906,0.641,0.982,4.5e-06,F,0.0679,-1.823,Major,0.102,105.043,4,0.647
4SzmBRbDVmi0z4Lnc6H1Za,this old house is all i have,[],against all logic,54,218960,0.312,0.69,0.804,0.775,A#,0.171,-6.288,Minor,0.0675,86.974,4,0.482
6VaiVrhK699Tkgbj91nml2,day from night,[],ages and ages,46,248697,0.648,0.564,0.378,0.0151,F,0.332,-10.753,Major,0.0298,76.021,4,0.628
29W4Yr3WWYRHgUjnvg2S8C,chord left,[],agnes obel,58,148533,0.995,0.622,0.0908,0.967,D,0.103,-20.476,Minor,0.0651,182.003,4,0.0377
09xypO3qE3b1wSTOlsIXSh,"caazapa ""aire popular paraguayo""",[],agustín barrios mangoré,30,187893,0.995,0.419,0.0923,0.925,C#,0.104,-30.279,Major,0.0346,55.768,4,0.547
3k0qSZWq10JQMF9NEjdLfj,summer magic,[],ai,33,215813,0.0669,0.663,0.754,0.00046,C,0.109,-5.423,Major,0.0887,165.987,4,0.4
2r94eujiRRzEnukTt5UzQS,losing game,[],aica,42,223913,0.174,0.683,0.609,0.0,C,0.108,-6.528,Minor,0.0666,137.984,4,0.507
52EDC32R0WxNs6ju9VUqLj,ain't got time to waste,[],aim,44,248920,0.036,0.902,0.552,0.0125,A,0.0705,-7.958,Minor,0.16,100.911,4,0.426
24NbwTMfsr94HSKyMMd8LB,goose snow cone,[],aimee mann,38,215570,0.687,0.461,0.369,0.000106,D,0.0794,-9.147,Major,0.0319,145.765,4,0.383
6021Sqck0vonZQB55NLhZP,we're the stars,[],aimi,32,259227,0.869,0.377,0.605,0.0,C#,0.194,-5.39,Minor,0.0304,165.94,4,0.19
3Ygywky0Y4zBvYzwzrrG3X,stay right there,[],airia,36,161443,0.0515,0.463,0.829,0.0238,F,0.433,-4.76,Major,0.0388,160.018,4,0.706
1AUA1F8HP6slXBYPbxTJ2J,devotion,[],airpark,49,198413,0.575,0.683,0.713,0.0101,F#,0.108,-6.217,Minor,0.0336,122.954,4,0.742
5Md4gGCtM6HV8eR2lQv8F2,reckless tongue,[],airways,51,178795,0.00261,0.532,0.892,0.000519,B,0.228,-4.698,Minor,0.071,85.99,4,0.808
0RliZNSYxNPfwHI6fyD7Ts,mind on fire - franz matthews remix,[],aisha badru,44,240193,0.39,0.799,0.648,0.0141,G,0.281,-8.94,Major,0.0289,111.489,4,0.34
5GYM4rUDvbT9ov3eS1YMll,teléfono - remix,[],aitana,70,163787,0.201,0.672,0.886,4.79e-05,D,0.104,-3.234,Major,0.0684,171.995,4,0.667
38nKfxyRrjYfx0ODX1W5yB,i don't want you back,[],aj mitchell,65,224144,0.591,0.613,0.347,0.0,F,0.0959,-6.486,Major,0.034,109.764,4,0.25
0C0ODN6ylPwN3hVphmQgl5,byakumuno mayu ~ricordando il passato~,[],akiko shikata,26,304133,0.54,0.295,0.499,0.00149,C#,0.104,-7.088,Major,0.0325,76.97,4,0.21
4VR4fPG6veFtEVUDzJ9VJE,against the grain,[],akon,45,244453,0.427,0.77,0.53,0.0,C,0.0877,-4.779,Major,0.0354,94.999,4,0.36
7g1BY9DxCoF440qgBWBZYN,august,[],akurei,52,177570,0.184,0.744,0.565,0.000336,D,0.14,-8.52,Major,0.0474,139.999,4,0.358
5OHlCmavqq8SFwxmofUy9W,conga jog,[],al gromer khan,34,264933,0.886,0.668,0.0701,0.948,F#,0.106,-24.957,Major,0.0373,137.759,4,0.424
4VzweaqBuc7LT6yluAt5Ol,on the border,[],al stewart,41,202307,0.0813,0.5,0.664,9.6e-06,F#,0.0804,-10.935,Minor,0.0332,98.058,4,0.62
17Jg504RgNPNgdpRkJh9Co,always alright,[],alabama shakes,58,249170,0.784,0.693,0.62,0.844,A,0.112,-6.509,Major,0.0424,106.346,4,0.571
51O8s0VOum6BV0mqISv6kL,déshominisation (i),[],alain goraguer,28,230200,0.437,0.574,0.62,0.923,F#,0.0813,-11.141,Minor,0.0282,121.019,4,0.482
3Zb3SXZdtyNA0Cdq0DWLeC,chime,[],alan gogoll,55,106286,0.516,0.55,0.327,0.819,C#,0.115,-22.131,Major,0.0441,121.806,4,0.713
5ZLSyQ2GuFDXJPUR1KoMoj,a bracing cup of tea,[],alan menken,41,126920,0.904,0.181,0.0292,0.357,A,0.118,-29.065,Minor,0.0378,76.751,4,0.0973
54YEioo3rkR4m4C8XCHWOn,o lucky man!,[],alan price,29,140400,0.523,0.513,0.688,0.0,D,0.102,-9.634,Major,0.0343,134.0,4,0.636
6rRIRMEhVclbTleCJQsrPm,all i really want - 2015 remaster,[],alanis morissette,53,284093,0.0117,0.562,0.896,0.0,A#,0.322,-7.974,Minor,0.203,93.378,4,0.362
1KU5EHSz04JhGg3rReGJ0N,black velvet,[],alannah myles,71,287440,0.273,0.754,0.366,9.04e-05,G#,0.106,-10.07,Major,0.0312,91.147,4,0.469
2EPYmE0iIUw4XfUZsv005c,the t (feat. adore delano),[],alaska thunderfuck,49,204774,0.0268,0.762,0.676,0.0,D,0.279,-7.241,Major,0.135,122.006,4,0.172
3ykujidUtB16GxCQgPU1sz,falling autumn,[],alayna,55,225453,0.451,0.696,0.462,1.13e-06,C#,0.103,-6.231,Minor,0.0485,131.107,4,0.252
6tunhVGD8C05MZNjSVIsjw,it never rains in southern california,[],albert hammond,61,233507,0.124,0.626,0.565,0.0,A,0.0811,-10.027,Major,0.0271,116.61,4,0.924
4XxcAWtC975wrjgy5mkNmc,find a home out there (radio edit),[],alberta cross,56,216440,0.254,0.53,0.604,3.25e-05,C,0.143,-5.825,Major,0.0307,122.943,4,0.285
14eADKYd8oUMsV9FFs9N2l,purpurina,[],alberto gambino,57,194952,0.255,0.815,0.683,0.0,A,0.114,-4.988,Major,0.0777,129.975,4,0.969
5ZNrBoHOETZWksUqxrv5P2,dedicatoria,[],alberto iglesias,31,90000,0.942,0.436,0.0716,0.843,E,0.142,-17.131,Minor,0.0323,100.991,4,0.0369
6tLv94j73OP0sZyzUlG6Bs,série brasileira: iv. batuque,[],alberto nepomuceno,38,224813,0.906,0.478,0.255,0.899,C,0.0391,-17.796,Major,0.0366,101.931,4,0.519
0Iq41nl0uuZqPCF5gKH3Li,callin',[],alec bailey,55,188676,0.851,0.611,0.328,8.16e-06,F#,0.109,-8.43,Major,0.0368,137.132,4,0.214
5Ys68FZdQFcFw7IgkANVoM,1994,[],alec benjamin,68,184121,0.281,0.772,0.613,3.52e-06,G#,0.206,-6.185,Major,0.0692,87.022,4,0.862
2IG5I8jLFkX8tFSOUH3DzT,a little more,[],alessia cara,60,146173,0.803,0.448,0.21,0.0,E,0.151,-11.614,Major,0.0368,96.337,3,0.229
62UQgDAEzQuKDwa0Lf8wt8,bumper cars,[],alex & sierra,63,240173,0.805,0.428,0.274,0.0,D#,0.102,-7.363,Major,0.0394,145.067,4,0.176
6PYw8nnHdqLz7bJ8N4uRvu,divorce,[],alex cameron,43,192933,0.37,0.526,0.738,0.0,G,0.0842,-5.26,Major,0.0358,144.565,4,0.898
4sJoIeb8zWYCLHSLM0az3b,if you stay,[],alex hepburn,57,194554,0.0453,0.719,0.702,1.35e-05,B,0.0662,-4.577,Major,0.0357,116.938,4,0.613
3lLpxXl6wEgqww7gdb6RPz,every day's the weekend,[],alex lahey,46,190674,0.00391,0.464,0.939,0.0038,E,0.261,-4.189,Major,0.0436,182.106,4,0.86
04qxabD9hKT45HsrOQqdVg,free form,[],alex lustig,57,167767,0.909,0.723,0.283,0.0705,E,0.0899,-12.849,Major,0.215,103.043,4,0.512
2GFQfd3fji2pLxPYbS8XQl,kill the lights (mix cut) - audien remix,[],alex newell,46,205712,0.0893,0.645,0.921,6.97e-06,G,0.533,-0.198,Major,0.0805,126.028,4,0.392
1zdKc6UvnPuoVHkr0NYyIf,glass in the park,[],alex turner,45,239653,0.903,0.553,0.19,0.000227,D,0.0993,-14.961,Major,0.0298,100.002,4,0.299
5mBLsGeDozivo9EmIBid2H,games,[],alex wiley,61,156269,0.197,0.763,0.732,0.000133,C#,0.526,-6.87,Major,0.22,129.064,4,0.452
1LaQ3RGV5wfIGEAsdUlkWA,"star trek: main theme - from ""star trek""",[],alexander courage,32,84093,0.967,0.167,0.236,0.927,F,0.0503,-18.881,Major,0.044,134.02,4,0.039
3BViBwNtaG9ObwJCaBKaWN,clockwise,[],alexander lewis,38,218624,0.0332,0.608,0.938,0.0,B,0.31,-2.681,Minor,0.287,134.198,4,0.436
4zIaXqKCXZs02eB6jEe5Mf,mr. saxobeat - radio edit,[],alexandra stan,61,195280,0.0239,0.711,0.928,0.000278,B,0.133,-4.162,Minor,0.0527,127.047,4,0.745
2ouBCzavu59F6ZcJlb1kZ6,les bijoux,[],alexandre azaria,46,187802,0.985,0.18,0.0333,0.875,F,0.0666,-27.667,Minor,0.0406,134.159,3,0.0392
3TFRDm5QN8zTc1CrR4Vf5U,"2 pièces hébraïques: no. 1, invention",[],alexandre tansman,32,403547,0.995,0.44,0.0125,0.923,E,0.0725,-26.603,Minor,0.066,67.1,4,0.101
3RPerpXuNznZbCuWYEBz5i,all my days,[],alexi murdoch,60,297120,0.803,0.42,0.434,0.69,D,0.0954,-10.95,Major,0.0309,88.275,4,0.527
6Z8SMaWYEs0fgeiTXxsj66,music for piano: iii. distant memories,[],alexina louie,44,173947,0.993,0.362,0.0121,0.947,D,0.0793,-34.398,Major,0.0418,85.597,3,0.0372
29U9wLHEdy5GclFrf41j5a,mornings (see you again),[],alextbh,51,260339,0.59,0.739,0.313,0.00617,A#,0.106,-8.453,Major,0.0639,83.004,4,0.37
0xfBqUDE3bMIYJ2h5syovJ,rejected,[],aleyce simmonds,42,221000,0.0971,0.672,0.833,4.87e-05,C,0.0364,-3.828,Major,0.0257,105.962,4,0.76
7nnUCCtzCCOAiQlOXZoD99,gwenwyn,[],alffa,60,182787,0.00447,0.619,0.786,0.00031,B,0.103,-4.678,Minor,0.0709,142.086,4,0.489
5QC2cjavSLaYyfpyZJhyND,designing dreams (original fashion film soundtrack),[],alfonso g. aguilar,25,79920,0.867,0.344,0.291,0.961,A,0.482,-12.138,Minor,0.0316,150.028,3,0.213
3OE7sakLSNfcUEPyNsrvaB,guru bandana (prayer),[],ali akbar khan,38,336333,0.976,0.317,0.0528,0.445,C,0.152,-14.751,Major,0.0332,102.368,5,0.165
3pyXd6oVCIbdQbvOIO9Dlu,can't lie,[],ali gatie,65,195066,0.872,0.802,0.414,0.0,G,0.0863,-10.635,Major,0.0776,131.952,4,0.377
50B1PVWbakumorzP54YvK2,funny business,[],alice merton,60,188880,0.0389,0.665,0.701,0.0,D,0.115,-4.705,Major,0.402,103.314,4,0.455
4OZpyK9ihkicjjmosNWxsR,skin crawl,[],alice phoebe lou,50,138996,0.228,0.302,0.62,1.31e-05,D,0.215,-5.779,Major,0.0332,180.136,3,0.426
0SjLnms2QoHdnuHQe9IWLO,sen gelmez oldun - version 1,[],alihan samedov,33,335177,0.839,0.553,0.658,0.0548,C#,0.0822,-9.258,Minor,0.062,99.959,4,0.386
6zuL8VqpyWQuRpN84hMICH,ejercito despierta,[],alika,52,126960,0.3,0.789,0.666,0.000386,G,0.32,-10.41,Major,0.347,79.488,4,0.748
6WUgEQwCbnaPrLf9V5K4HG,buzzin,[],alina baraz,57,183287,0.65,0.563,0.463,4.87e-06,A,0.0967,-9.249,Minor,0.4,149.571,4,0.276
2p2RjUtsNL3YfJrE6DqzZd,dot,[],all,22,121227,0.000784,0.481,0.829,4.82e-06,G,0.348,-9.867,Major,0.0382,120.669,4,0.877
5uHnDHx5J48FdT6FjwA7Z8,pure shores,[],all saints,57,268747,0.0498,0.631,0.664,0.00042,F#,0.0696,-9.197,Major,0.0242,100.618,4,0.407
1FSHlT8QrA7YXx8o9xkXbd,high beams,[],all the luck in the world,53,212881,0.0295,0.336,0.43,0.0259,D,0.135,-10.684,Major,0.0331,140.321,4,0.0983
4OnZR9U5JRFGF1Yza9j579,i can love you like that,[],all-4-one,66,257960,0.0811,0.635,0.712,0.0,G#,0.322,-4.998,Major,0.0283,91.024,4,0.423
5P71HJ6moieQMr8s6zmtwT,oompa loompa,[],all-star kids cast,21,62840,0.857,0.896,0.257,7.86e-06,F,0.0856,-14.659,Major,0.135,142.095,4,0.452
0DLcjcjvUywWkPYseSdg7J,fuck my enemies,[],allan kingdom,50,216959,0.0226,0.704,0.644,1.04e-06,C,0.122,-5.543,Major,0.102,160.058,3,0.273
2oM4BuruDnEvk59IvIXCwn,25.22,[],allan rayman,46,189213,0.331,0.695,0.537,0.0445,G,0.35,-10.818,Major,0.086,139.949,4,0.267
1Mrq3vlXr6IWJ7cBCLYfMH,in motion (feat. japanese wallpaper),[],allday,51,223053,0.632,0.659,0.435,0.0694,F,0.0882,-9.788,Major,0.0571,107.988,4,0.251
2RP8Svo0pMwZXnVcmOffDw,fading,[],alle farben,80,207013,0.0232,0.734,0.76,0.0,B,0.127,-5.267,Minor,0.0415,122.072,4,0.685
7MjbsO0p4zGyuM9xSnEcF9,can't stop now,[],allie x,49,183326,0.0593,0.623,0.852,2.08e-05,F,0.349,-3.167,Minor,0.0388,79.994,4,0.62
4T8FoNHY3UZSYgOV76ueVU,ancient light,[],allman brown,45,244900,0.647,0.435,0.208,0.000921,C#,0.147,-15.75,Minor,0.0558,69.027,4,0.189
7xhvCzIguRfyfQyGrnWuVn,low key (feat. tyga),[],ally brooke,73,201385,0.369,0.79,0.546,2.55e-06,F#,0.128,-5.553,Minor,0.0383,109.014,4,0.748
2aDi7Lxx2z76E1K6CupJzw,the sore feet song,[],ally kerr,33,185293,0.899,0.38,0.284,0.0,B,0.129,-8.995,Major,0.028,110.183,3,0.296
3GJjiToqnCxTm5rOaqoxdi,chasing highs,[],alma,68,195678,0.271,0.792,0.775,1.55e-05,D,0.406,-4.575,Minor,0.0532,111.957,4,0.521
2FPsYpo8cf9KL18uJhkZJu,a million dollars a day,[],aloe blacc,45,178428,0.0167,0.63,0.677,0.0,A,0.0631,-6.371,Major,0.0858,140.034,4,0.647
