artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
duran duran,a view to a kill - live,2ulR3aa35rncTzu6E0DphQ,24,0.0283,0.551,255467,0.686,3.65e-05,G#,0.649,-5.868,Major,0.0548,124.83,4,0.327
king curtis,"a whiter shade of pale - live at fillmore west, 3/7/1971",6ER8plW4Mae5d5nSATWPD9,43,0.716,0.44,326013,0.239,0.653,C,0.769,-17.094,Major,0.0339,100.37,4,0.223
alan menken,a whole new world (with lea salonga) - live in japan,5V0TVDsIceZe78EkSDlLjA,38,0.714,0.264,163533,0.504,0.0,C,0.182,-4.696,Major,0.0309,113.894,4,0.297
michael w. smith,above all - live,5KiTsR2h8jnzkvTeucxoAn,49,0.682,0.405,263840,0.329,2.14e-06,A#,0.541,-10.064,Major,0.0309,66.601,4,0.168
planetshakers,above all names - live in asia,1H2yWT75NYf5WQ87aVctnH,41,0.0029,0.33,513897,0.666,0.0352,F,0.347,-8.162,Major,0.035,155.995,4,0.206
corey voss,across the earth - live,5ISh0qbTbbtdziGqMYz1rl,27,0.00426,0.482,344627,0.76,0.0,G,0.172,-5.186,Major,0.0316,115.974,4,0.173
mosaic msc,across the universe - live,136M9HS7oXYyL6NGHhmYB9,48,0.0559,0.417,313560,0.634,7.14e-05,C#,0.75,-5.928,Minor,0.0363,83.977,4,0.122
gustav mahler,"adagietto (from ""symphony no. 5 in c-sharp minor"") [live]",7p5NYxs2LzmRFdlAt2kJGm,26,0.929,0.162,762840,0.308,0.633,F,0.106,-14.315,Major,0.0453,83.372,4,0.045
caramelos de cianuro,adios amor - live from paris,0j8cfeYM1BLvGtzhmfYn3q,26,0.00885,0.528,237708,0.692,0.00135,B,0.342,-9.932,Minor,0.04,152.926,4,0.506
hillsong worship,adonai - live / mighty to save album version,7o403BASqR5hstLyroTRWu,26,0.033,0.405,267693,0.87,1.95e-06,B,0.387,-5.328,Major,0.0502,150.013,4,0.315
bethel music,adorar sin cesar (live),2OgtKjLpPrLwRNcEULwSSv,43,0.0013,0.458,269293,0.729,0.0,B,0.0886,-6.294,Major,0.0389,122.955,4,0.175
upperroom,adoration (live),6UKtlVVpwTb3ISuqZ0FCAT,42,0.0371,0.401,378773,0.715,0.0,G#,0.0928,-5.291,Major,0.0411,134.036,4,0.108
chris tomlin,adore - live,3GGsGsFecInNJvoPHUiWQP,30,0.631,0.291,285000,0.307,0.0,C,0.138,-8.034,Major,0.0286,171.353,4,0.1
upperroom,after you (live),4b7agEbfABqymuNAigaEdI,45,0.0184,0.374,352077,0.606,0.0,F#,0.0936,-5.777,Major,0.0401,141.687,3,0.0398
hillsong united,aftermath - live,2M90kchdSmrElLxyuJPSTR,29,0.0101,0.355,485973,0.561,0.0384,D,0.14,-8.067,Major,0.0353,130.739,4,0.0913
michael w. smith,agnus dei - live,1qxDqbzmWODOkr0Ja5Iotz,47,0.477,0.323,400800,0.34,6.67e-05,A,0.622,-11.013,Major,0.0308,135.842,4,0.0983
wisin & yandel,"ahora es - live at coliseo jose miguel agrelot, puerto rico/2010",3ZQoh3pt2XueRK1hWixvlF,39,0.0421,0.706,167933,0.903,0.0,B,0.431,-4.34,Minor,0.188,96.044,4,0.484
giuseppe verdi,aida - triumphal march: aida - triumphal march - live,1JXmHcdSRBGVLMBJPFUqPo,28,0.957,0.299,428467,0.0921,0.871,D#,0.529,-20.609,Major,0.0343,98.266,4,0.228
slightly stoopid,ain't got a lotta money - live,0HhLqQv0EdOYYagJ1zK8j7,29,0.0311,0.604,245760,0.667,0.000184,G,0.0415,-9.409,Major,0.0612,96.998,4,0.579
taj mahal,ain't gwine whistle dixie (anymo') - live,0dbb2f7WmurM3jMgioZFFt,42,0.275,0.544,516840,0.571,0.338,A,0.654,-12.837,Major,0.0358,109.244,4,0.614
bethel music,ain't no grave (live),7mD7yAQm4GcifSnWqJdZHi,57,0.0129,0.37,493293,0.831,0.000122,E,0.109,-4.484,Major,0.0442,148.008,4,0.185
gregg allman,ain't wastin' time no more - live,3bXW6LEvVUB0ZXItFounBe,24,0.0619,0.594,410467,0.75,0.000577,F,0.608,-8.932,Minor,0.0737,87.924,4,0.638
matisyahu,aish tamid - live album version,1EEYqdoGzskDTc1JL0Rb2R,34,0.138,0.457,415347,0.554,0.0,B,0.518,-9.728,Minor,0.212,71.669,4,0.362
tedeschi trucks band,alabama - live,6TeK891HnxIWidLOVWLXNQ,34,0.37,0.431,206672,0.763,0.00103,A,0.151,-4.919,Minor,0.0396,81.457,4,0.485
gateway worship,alabaster jar - live,3G36YqxxdFoiIlh7YklGGB,44,0.117,0.237,479053,0.55,4.62e-06,G,0.553,-7.204,Major,0.0327,151.477,4,0.0762
hillsong united,aleluya (hallelujah) - live,3tVtQvXnGJqe9kK10f3wXO,26,0.0371,0.351,223640,0.709,0.00405,A,0.122,-7.81,Major,0.0307,152.622,4,0.29
tedeschi trucks band,ali - live,64VZRducWkDFO6NpAVMM5Y,22,0.089,0.444,500773,0.683,0.888,B,0.287,-13.046,Major,0.0973,147.367,4,0.266
matt maher,alive again (live),1QPsgoN3SlxYh0G6pLLvHu,31,0.000241,0.478,307333,0.947,0.00136,A#,0.708,-5.754,Major,0.133,119.935,4,0.158
planetshakers,alive again - live in manila,0ds4Xpys52C8JpT8Nr3syn,51,0.000184,0.561,252149,0.925,0.0119,C#,0.606,-5.77,Major,0.0566,126.019,4,0.614
hillsong worship,alive in us - live,44GI4ZCalJhwVUTSZuuxa0,29,0.00315,0.224,271787,0.726,2.27e-06,G,0.371,-5.04,Major,0.0381,169.673,4,0.2
jesus culture,alive in you - live,7IZj7C9LM2jj0ISnyve3Ox,47,0.00178,0.472,314320,0.785,0.00193,G,0.49,-5.769,Major,0.0319,77.01,4,0.176
rodney carrington,all about sex - live,47b3B6wSy19n8iXNsHWAc5,27,0.828,0.529,751107,0.608,0.0,F#,0.601,-13.074,Major,0.946,85.95,4,0.334
planetshakers,all around - live,4mbJREArXHujf7DKDKg4lz,49,0.000583,0.655,247720,0.89,2.02e-06,A#,0.124,-5.73,Minor,0.069,121.973,4,0.567
covenant worship,all creation - live,40tZ7g3Z8QYkyAU7oLe0oe,20,0.00166,0.545,325322,0.831,0.0,F,0.522,-4.799,Major,0.0403,118.009,4,0.234
passion,all creatures of our god and king - live,5K3M0o61eAngb9ri8Lgee7,35,0.0109,0.56,346333,0.453,2.2e-05,D,0.744,-7.267,Major,0.0268,138.614,4,0.234
seu worship,all eyes on you - live,1TZD7jskVZWM0U5nUuSR5X,34,0.737,0.447,233773,0.442,0.00169,G,0.709,-7.704,Major,0.0293,139.894,4,0.0587
worship central,all for love (gethsemane) - live,1d0xX8GVn0oDPgHJXeIhi1,36,0.0522,0.455,314517,0.504,0.0,G,0.584,-7.258,Minor,0.0284,137.962,4,0.154
hillsong united,all for love - live,6PHG0nrUk398EhwR0PSbKh,33,0.0227,0.415,355973,0.558,0.000112,D,0.408,-8.37,Major,0.0341,147.977,4,0.137
vertical worship,all glory (feat. heather headley) [live],5mgxG1B5vzsyzhPo17y05g,24,0.087,0.383,324787,0.568,0.000108,A,0.148,-6.116,Major,0.0353,139.747,4,0.158
upperroom,all hail king jesus (live),4WRRqOFd0nBZni8SMvz25a,46,0.101,0.274,495227,0.651,0.0,G,0.127,-5.846,Major,0.0467,142.133,4,0.12
covenant worship,all honor - live,3QqGnhecXswASHZbrfaSJh,42,0.171,0.242,479398,0.526,0.0,F#,0.608,-6.882,Major,0.0331,148.15,4,0.0573
seu worship,all i have (live),20gEKOVPtX1SZUAiFmc2sE,21,0.0361,0.247,345285,0.569,0.0,E,0.126,-6.728,Major,0.0352,108.495,4,0.148
hillsong united,all i need is you - live,5x1TkcGV7En0GxLHUHIDQ7,44,0.125,0.361,386067,0.314,0.0,E,0.177,-10.184,Major,0.0285,141.921,4,0.072
cory asbury,all is for your glory (live),2BudPxvtcwNT2zhyXuYOcI,35,0.00522,0.421,424080,0.63,3.17e-06,D,0.108,-9.149,Major,0.0352,133.862,4,0.231
big brother & the holding company,"all is loneliness - live at the fillmore west, san francisco, ca - april 1970",7AQD7uDsoBbVE9gk0Rb2pu,33,0.813,0.517,345800,0.208,0.0339,G,0.63,-17.522,Minor,0.0459,87.129,4,0.514
sean feucht,all it takes is one (live),48ep7FhMWdl9VZlFrIPQrb,28,0.0065,0.408,527615,0.549,0.0,E,0.212,-9.035,Minor,0.0332,134.929,4,0.201
portishead,all mine - live,72QLUv5gT0QiR4LUWza9vF,38,0.081,0.588,242600,0.534,9.27e-05,D#,0.701,-4.791,Major,0.031,62.702,4,0.346
passion,all my fountains - live,3t4dCm7bHSGzl2xigMaN1Y,41,0.00261,0.522,311786,0.752,2.72e-06,A,0.693,-7.149,Major,0.0425,103.02,4,0.327
passion,all my hope - live,0vlrjt3fBV68KuXKLHN6lX,54,0.553,0.401,277920,0.495,0.0,G,0.684,-6.71,Major,0.0332,98.968,3,0.352
united pursuit,all my love (live),5akhOGN9DhCaawnO0XAL2K,36,0.828,0.389,300735,0.303,0.0,C,0.114,-11.956,Major,0.0347,122.984,4,0.157
john legend,all of me - live from spotify milan,6nyZQ82OI0OujbbFpo3e0K,59,0.833,0.505,291960,0.15,0.0,G#,0.0988,-9.795,Major,0.0439,133.237,4,0.383
seu worship,all of my heart (live) [feat. luke breton van groll],449xo7lohbHM515tyIybcu,24,0.0109,0.424,367019,0.578,0.0,C,0.678,-9.081,Major,0.0322,137.985,4,0.106
devin dawson,all on me - songs in the key of f - live,2E6JwECgqCycmLijpYK7cA,34,0.542,0.658,222880,0.553,0.0,D#,0.0838,-5.726,Major,0.0391,77.989,4,0.605
planetshakers,all on the altar - live in kuala lumpur,3jOxnTvF2FHAR9pjNNPxWM,38,0.0107,0.377,387611,0.735,0.000419,G,0.282,-6.97,Major,0.0468,152.025,4,0.181
gateway worship,all that i need - live,6YApiTRaLOhdtrHITEVFdX,30,0.0117,0.562,247587,0.827,3.73e-06,F,0.698,-5.639,Major,0.0388,127.939,3,0.355
darlene zschech,all that we are - live,5xyg6R0tR08FWbfMx3Fpcc,32,0.00157,0.415,239493,0.867,7.18e-06,B,0.452,-5.387,Major,0.0623,125.072,4,0.417
terry macalmon,all the glory (live),5S0IPVU1YCwl3Ykg1OEyLc,26,0.936,0.274,376347,0.0828,0.144,B,0.138,-21.332,Major,0.0348,121.339,4,0.0384
hillsong worship,all the heavens - live,1yRAPziUYbVHQfBkSFWzWS,26,0.212,0.421,238107,0.626,0.0,C,0.112,-6.2,Major,0.0357,135.747,4,0.292
all sons & daughters,all the poor and powerless - live,320IK08eUZAbcEY1ARM8Qh,35,0.167,0.365,378400,0.375,1.1e-06,A,0.0871,-7.733,Major,0.0295,148.123,4,0.121
covenant worship,all things - live,1Vvb43l3ZgLVuWCN9RROiB,27,0.141,0.442,291736,0.638,0.0,G,0.21,-6.554,Major,0.0433,137.949,4,0.217
hillsong worship,all things new - live,02lATwxI54Cxz8QOsoduo5,34,0.04,0.378,251267,0.667,0.0,B,0.213,-5.715,Major,0.0296,75.358,4,0.135
sublime,all you need - live warped tour/1995,7K05w8jNQcWng8q3542tPU,23,0.00192,0.475,164067,0.735,0.156,B,0.136,-8.394,Minor,0.0632,115.772,4,0.768
stevie ray vaughan,"all your love i miss loving - live at steamboat 1874, austin, tx - april 1980",7K2evZmB0mWrZNO8qnXfYI,34,0.0126,0.478,362173,0.853,0.015,F,0.568,-8.815,Major,0.0591,129.855,4,0.861
leeland,all-consuming fire (live),6xzGi3jR5jKu0sXxxMn8oi,55,0.0545,0.468,286107,0.518,0.0,D,0.0847,-7.085,Major,0.0282,80.062,4,0.314
jesus culture,alleluia - live,4FmpJYb8ng0grrLjzDhQBB,43,0.00202,0.274,484200,0.627,2.05e-05,F,0.121,-6.896,Major,0.044,139.966,4,0.0871
passion,almighty god - live,45I4GfTPlH2sRLq9B6OB49,45,0.0225,0.445,331373,0.698,0.0,C,0.693,-4.724,Major,0.0273,77.987,4,0.26
seu worship,altar (live),38heLtyRuyWilWcGxFl8Sw,49,0.121,0.439,379093,0.409,0.0,D#,0.669,-9.802,Major,0.0318,142.081,4,0.141
kari jobe,always enough - live,1xKjnkmbgcGtL7EbzLlO4X,36,0.0933,0.389,456427,0.455,2.37e-05,D,0.65,-8.231,Major,0.0315,78.104,4,0.0525
vertical worship,always have - live,5VZw2aHEFXTxR8pDFU3AIq,37,0.0633,0.266,326533,0.366,4.01e-05,C,0.0745,-7.812,Major,0.0302,93.336,4,0.0668
hillsong worship,always will - live,5n6iSr4Z1JjZikFtFteVQM,33,0.00392,0.487,240573,0.833,9.92e-06,D,0.444,-5.842,Major,0.0367,128.997,4,0.423
lincoln brewster,amazed - live,0JXSji7yWchY5Sr3HP3Afy,31,0.202,0.294,386573,0.557,0.0,E,0.112,-5.792,Major,0.0285,151.676,4,0.185
shane & shane,amazing grace (my chains are gone) [live],6SSRpCaF6xshmn86oJ9LmR,42,0.772,0.269,269782,0.382,7.8e-06,G,0.155,-10.388,Major,0.0307,124.213,4,0.181
michael w. smith,amazing grace (my chains are gone) [live] - edit,3LXElGcwPZ743Zc1wiBKhG,38,0.816,0.31,375173,0.493,7.07e-06,F,0.682,-9.781,Major,0.0429,130.044,4,0.214
simon & garfunkel,"american tune - live at central park, new york, ny - september 19, 1981",6xoFYGW7KJsF4SfTz8nxOk,50,0.82,0.454,275240,0.154,0.0,D,0.363,-19.979,Major,0.0328,76.656,4,0.22
the glorious sons,amigo - live at longboat hall,50hEwD8KVpRF75cOUPjF7I,30,0.729,0.43,527421,0.462,1.91e-06,C,0.663,-6.819,Major,0.0336,110.26,4,0.268
don omar,amor de colegio - live,0LMnXlXAH2WRiWdvlJtHxB,31,0.191,0.625,182120,0.884,0.0,C#,0.344,-5.002,Major,0.059,95.26,4,0.55
rubén blades,amor y control - live,30aRxa0Mi22rG981x42Nyx,50,0.715,0.647,351027,0.648,7.15e-05,C,0.689,-8.805,Major,0.0449,89.773,4,0.739
hillsong united,an introduction - live,0LwL3jo1nKuEGhaBMJil6j,24,2.57e-06,0.294,92480,0.863,0.817,A,0.623,-7.571,Major,0.0392,147.038,4,0.118
aimer,anatani deawanakereba kasetsutouka - live in church version,30LKmJzsVasNRj9Fv6Sx66,21,0.95,0.353,415560,0.416,0.00132,C#,0.1,-9.047,Minor,0.0429,145.023,4,0.214
bethel music,anchor (live),1Z1A9UH2DX0QWQF2awQDDZ,41,0.036,0.428,285853,0.729,0.00779,D,0.332,-6.368,Major,0.0274,159.809,4,0.377
hillsong worship,anchor - live,6fmTgT8i42Pcs9lFwpthpF,48,0.0777,0.346,390200,0.722,0.000311,E,0.127,-6.399,Major,0.0389,145.919,4,0.166
ron kenoly,ancient of days - live,6wN3ucC8m1QiFTt6DIiy3E,36,0.0979,0.656,476933,0.504,0.0,D,0.157,-14.947,Major,0.0973,91.7,4,0.64
aaron keyes,and can it be (live),3Z6nm5jGyvKnjNMCD6b1uR,33,0.0298,0.516,358699,0.514,0.0,G,0.15,-7.795,Major,0.0304,143.026,4,0.413
jefferson airplane,and i like it - live 10.15.1966 late show - signe's farewell,7aJHjGmmOnmetpZkPuJj7Z,35,0.668,0.435,431373,0.224,1.41e-05,D,0.716,-10.189,Major,0.0356,121.29,3,0.1
lalah hathaway,angel (live),0QmLbWOTGnaMgUCL8xfWiw,50,0.369,0.567,342067,0.5,5.5e-05,B,0.53,-9.294,Major,0.033,80.626,4,0.391
john prine,angel from montgomery - live,53OnUdsF4yWSaUevfD3EjW,41,0.742,0.463,256667,0.255,0.0,A,0.694,-17.611,Major,0.0345,133.194,4,0.224
hozier,angel of small death and the codeine scene - live from spotify london,59o2b2BGgziNyPx9f3xnhA,49,0.928,0.594,210920,0.2,0.0,F#,0.673,-10.472,Minor,0.0622,92.821,4,0.415
louis prima,angelina / zooma zooma - live / medley / remastered 1999,7jp5ZOm6EI9cayxynj5hCT,45,0.742,0.554,261720,0.656,3.03e-06,C#,0.786,-9.368,Major,0.372,129.244,4,0.812
hillsong worship,angels - live / hope album version,7lmNlBMJFL3VDRbcS73Cts,24,0.793,0.165,325027,0.291,0.0,E,0.739,-10.94,Major,0.0314,74.015,4,0.134
for king & country,angels we have heard on high - live,5L0McLUJ1jS8N6dPnv4251,36,0.00544,0.49,239387,0.871,0.00088,A,0.703,-5.749,Major,0.0524,111.998,4,0.158
hooverphonic,anger never dies - live at koningin elisabethzaal 2012,7FCaXjxN2tiYYoKNQJata7,45,0.0703,0.475,225227,0.671,9e-06,G,0.77,-9.375,Major,0.0328,95.014,4,0.404
jesus culture,anointing - live,4x0heIlviUuSzfIZX4L5QA,44,0.00457,0.348,492707,0.762,0.0,D,0.57,-5.44,Major,0.0549,142.01,4,0.109
ron kenoly,anointing fall on me - live,6HKqVz63NJPuCs78n80eRQ,35,0.214,0.382,175627,0.219,0.0,G,0.229,-18.364,Major,0.0416,127.282,4,0.347
liz callaway,"another hundred lyrics (from ""company"", ""another hundred people"") [live]",6XFZM5sxxSgjIGJyhX4lZu,20,0.764,0.514,201013,0.499,1.11e-05,E,0.307,-11.086,Minor,0.163,94.208,4,0.465
john mayer trio,another kind of green - live in concert,21Eln1zIL4yA6XNLEd00fc,44,0.43,0.408,279973,0.623,0.00105,E,0.707,-8.054,Major,0.0312,183.202,3,0.371
lindy conant,another wave (live),7jKM0SeFU7tn6KnC2ZkBzf,35,0.00024,0.371,413905,0.749,0.000149,C,0.664,-7.262,Major,0.0397,162.071,4,0.225
slightly stoopid,anywhere i go - live,3XHIBZoiFOyeiiBzO8AZsf,41,0.089,0.554,189056,0.749,0.00209,G#,0.585,-10.619,Major,0.0628,80.914,4,0.545
j. cole,apparently - live,00X0ABCr4AZpT5GDfwjdcg,50,0.202,0.619,286107,0.738,2.84e-06,F,0.513,-7.559,Major,0.218,139.639,4,0.354
hillsong en español,aquella cruz - live,2frJRTzJyf8wid4vV2T8Vp,33,0.023,0.36,327627,0.537,0.0,F,0.632,-7.443,Major,0.0296,72.008,4,0.13
hillsong united,aqui estoy (the stand) - live,0UmKpmFDIaUSmuPVq74q9G,36,0.563,0.33,413253,0.279,0.00169,A,0.0967,-11.808,Major,0.0308,141.74,4,0.0617
johann sebastian bach,"aria mit 30 veränderungen, bwv 988 ""goldberg variations"": aria - live",3ynCAtMZNPQ661jSPWkb0S,38,0.992,0.188,218267,0.0622,0.91,G,0.0703,-28.152,Major,0.0472,66.095,4,0.313
